"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","Metrics","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
"9","1","1","0","30","0.01","PERF1","93.5","21.0496473355676","75.3392676056796","101.346032070822","0.167119979858398"
"9","1","1","0","30","0.01","PERF2","93.5","8.50671082884628","68.5794004955202","53.4965911824723","0.160133123397827"
"9","2","5","2","30","0.01","PERF1","96.5833333333333","16.1540020584875","78.7384871987443","75.9861601102971","0.162116050720215"
"9","2","4","1","30","0.01","PERF2","96.5833333333333","16.5635594986874","45.958463151957","28.1917435977862","0.155126094818115"
"9","3","1","0","30","0.01","PERF1","95.1666666666667","32.4976287125503","63.797232704662","62.997264811236","0.160113096237183"
"9","3","1","0","30","0.01","PERF2","95.1666666666667","64.6534116129468","64.5913297049277","33.951180336927","0.164117097854614"
"9","4","5","2","30","0.01","PERF1","97.75","32.6362962853843","85.1353204237283","46.3880356556671","0.159131050109863"
"9","4","4","1","30","0.01","PERF2","97.75","63.8419230758634","52.826935054923","31.9064127735377","0.167119979858398"
"9","5","1","0","30","0.01","PERF1","95","35.4152699456521","112.367232755577","74.608401765118","0.153108835220337"
"9","5","1","0","30","0.01","PERF2","95","15.4424896481343","84.3975733347023","46.200433725244","0.153125047683716"
"9","6","1","0","30","0.01","PERF1","94","201.597610520142","84.6110064552753","62.8227410491914","0.160114049911499"
"9","6","1","0","30","0.01","PERF2","94","167.034651271275","72.450571422498","22.6553491800528","0.163116931915283"
"9","7","2","1","30","0.01","PERF1","94.8333333333333","157.245362426845","57.2768854716635","44.5673467546992","0.162098169326782"
"9","7","5","2","30","0.01","PERF2","94.8333333333333","128.59839629645","73.1508800234082","35.8322255002716","0.158128976821899"
"9","8","1","0","30","0.01","PERF1","95.4166666666667","40.7671416477376","85.7140239600485","70.0799046876194","0.161113977432251"
"9","8","1","0","30","0.01","PERF2","95.4166666666667","10.3759952957785","58.7643129822686","15.030829810458","0.160096168518066"
"9","9","1","0","30","0.01","PERF1","95.3333333333333","17.4012480541998","82.2538523346167","74.3424720440645","0.160114049911499"
"9","9","4","1","30","0.01","PERF2","95.3333333333333","23.0125438098298","42.8060282988926","36.6560621360559","0.162115097045898"
"9","10","1","0","30","0.01","PERF1","96.8333333333333","36.4357853357214","69.1154538210168","75.7060315708676","0.160113096237183"
"9","10","1","0","30","0.01","PERF2","96.8333333333333","70.9097045777311","61.9633749512215","65.3832170922297","0.162115812301636"
"9","11","1","0","30","0.01","PERF1","93.9166666666667","86.5105862710896","71.1280993274744","97.2227769964242","0.155125856399536"
