SamplingSize,Metrics,AvgSampleDistance,Dis_ConfInteval_95%,ValidError(%),ValidError_ConfInteval_95%,GeneralizedError(%),Error_ConfInteval_95%,ASEMeanError(%),ASEError_ConfInteval_95%,ModelTime(S),MTime_ConfInteval_95%
9.00 ,PERF1,94.88 ,0.40 ,66.66 ,23.82 ,76.40 ,5.05 ,63.80 ,5.40 ,0.16 ,0.00 
9.00 ,PERF2,94.88 ,0.40 ,53.55 ,15.68 ,60.90 ,3.77 ,38.79 ,5.14 ,0.16 ,0.00 
18.00 ,PERF1,89.39 ,0.24 ,28.75 ,16.36 ,58.77 ,6.34 ,52.33 ,4.94 ,0.51 ,0.01 
18.00 ,PERF2,89.39 ,0.24 ,6.77 ,1.95 ,37.92 ,6.10 ,33.12 ,4.95 ,0.53 ,0.02 
27.00 ,PERF1,85.23 ,0.32 ,29.05 ,7.72 ,51.58 ,5.30 ,45.91 ,2.80 ,0.79 ,0.04 
27.00 ,PERF2,85.23 ,0.32 ,10.51 ,4.44 ,25.40 ,5.43 ,23.42 ,2.32 ,0.76 ,0.03 
36.00 ,PERF1,80.96 ,0.24 ,21.12 ,4.44 ,48.35 ,6.19 ,45.79 ,3.50 ,0.92 ,0.02 
36.00 ,PERF2,80.96 ,0.24 ,8.11 ,1.68 ,14.89 ,3.62 ,23.62 ,2.80 ,0.92 ,0.02 
45.00 ,PERF1,77.20 ,0.24 ,19.86 ,2.56 ,37.04 ,3.83 ,43.90 ,2.90 ,1.21 ,0.04 
45.00 ,PERF2,77.20 ,0.24 ,8.44 ,1.92 ,10.91 ,1.12 ,20.37 ,2.14 ,1.19 ,0.04 
54.00 ,PERF1,73.10 ,0.23 ,22.98 ,4.15 ,37.93 ,4.40 ,38.20 ,2.10 ,1.34 ,0.01 
54.00 ,PERF2,73.10 ,0.23 ,7.05 ,1.09 ,9.73 ,0.96 ,17.10 ,1.72 ,1.36 ,0.02 
63.00 ,PERF1,69.09 ,0.25 ,20.52 ,2.91 ,29.05 ,2.35 ,35.56 ,1.54 ,1.49 ,0.03 
63.00 ,PERF2,69.09 ,0.25 ,6.70 ,1.02 ,8.84 ,0.50 ,15.80 ,0.89 ,1.47 ,0.03 
72.00 ,PERF1,64.79 ,0.23 ,19.63 ,2.14 ,27.75 ,1.58 ,35.35 ,2.20 ,1.53 ,0.02 
72.00 ,PERF2,64.79 ,0.23 ,6.47 ,0.91 ,8.13 ,0.70 ,15.68 ,0.58 ,1.52 ,0.02 
81.00 ,PERF1,60.89 ,0.25 ,18.17 ,2.21 ,25.59 ,1.73 ,35.91 ,2.09 ,1.63 ,0.03 
81.00 ,PERF2,60.89 ,0.25 ,4.89 ,0.60 ,7.08 ,0.57 ,15.12 ,0.65 ,1.63 ,0.04 
PERF1,,,,,,,,,,,
,Distance with Testing Error,,,,,,,,,,
,,Pearson's correlation,0.96 ,,,,,,,,
,,SpearMan's correlation,0.98 ,,,,,,,,
,Validation with Testing Error,,,,,,,,,,
,,Pearson's correlation,0.86 ,,,,,,,,
,,SpearMan's correlation,0.95 ,,,,,,,,
PERF2,,,,,,,,,,,
,Distance with Testing Error,,,,,,,,,,
,,Pearson's correlation,0.87 ,,,,,,,,
,,SpearMan's correlation,1.00 ,,,,,,,,
,Validation with Testing Error,,,,,,,,,,
,,Pearson's correlation,0.85 ,,,,,,,,
,,SpearMan's correlation,0.82 ,,,,,,,,
