"SamplingSize","Metrics","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"18","PERF1","1275.82764705859","0.650423703195925","14.6906272195433","4.90054997712335","62.1310300748069","3.09031947150961","60.3888840500353","3.95929413928953","0.560398413584782","0.00952430350578758"
"18","PERF2","1275.82764705859","0.650423703195925","153.17510829387","120.377443293793","107.335613541128","19.0719786944474","86.0540740711275","12.6972238283045","0.556075121675219","0.00692782452517022"
"36","PERF1","1269.0900673403","0.74042878976785","31.0640187099486","7.24198625555026","54.6627247070701","2.91334451192645","51.2955819509764","1.73240474341567","1.20889581952776","0.0450494858232927"
"36","PERF2","1269.0900673403","0.74042878976785","20.3755314191439","11.256249451801","57.1712389302182","17.0385741578054","66.3193496779967","7.16451779046484","1.20049668209893","0.0379896142748154"
"54","PERF1","1260.33775510215","0.647254715445789","32.8416250510726","6.80748753428306","51.8640863499285","3.7676729793674","48.2463657623876","2.35796775891049","1.72805396148137","0.0237870311474577"
"54","PERF2","1260.33775510215","0.647254715445789","13.7248223351616","4.63161951806256","24.2744075765986","8.92408756924318","55.7585922106882","7.18532812106991","1.73046320676804","0.0248419866126962"
"72","PERF1","1251.84505494505","0.525111761060449","27.6392016294632","3.36984182051003","45.3409407283968","2.63973603520344","46.2168259958876","1.79075943648431","1.89123182826572","0.0185903649078116"
"72","PERF2","1251.84505494505","0.525111761060449","6.45802435251894","1.33297106243512","12.1697133256633","1.67165432797699","59.4284195255017","5.92192644695591","1.88984748295375","0.0330259960778341"
"90","PERF1","1244.79409171065","0.70480366146306","27.3879709576671","3.59099327967097","43.198877098278","1.69345274397819","46.2875477949067","2.18445413693427","1.93022802046367","0.022886840743936"
"90","PERF2","1244.79409171065","0.70480366146306","6.3886639420075","1.21933742908029","7.85203569706251","0.976745970459293","62.418787227557","4.89121735178719","1.90900164842606","0.0183676162264302"
"108","PERF1","1236.20256991708","0.744293928172136","30.2712439323638","5.3452718022926","41.6847262600284","1.96858221268556","40.1478231475603","1.35287405616248","2.10649819033486","0.0568642325432736"
"108","PERF2","1236.20256991708","0.744293928172136","5.06526578392174","1.05843972122372","5.92562856953579","0.474726451109311","32.9633179315903","3.28412921027285","2.05178939854657","0.0724312562240644"
"126","PERF1","1227.83950617295","0.730418212428069","28.141809828806","3.84221404269992","38.7392317222992","1.81170104663308","39.2691493874544","1.10867092111852","2.0558568239212","0.0270744834891024"
"126","PERF2","1227.83950617295","0.730418212428069","3.86636684218265","0.777353601110391","5.39508062598042","0.545493803838792","32.4573208116701","3.49520940673786","2.06039310353143","0.0348530073805983"
"144","PERF1","1219.58547008547","0.557690761842697","26.4272480763381","3.67672911154906","38.5992871027601","2.35894934933839","39.6521592972739","1.15400219585125","2.14684499161584","0.0256358088294345"
"144","PERF2","1219.58547008547","0.557690761842697","3.38371951159299","0.628762937713227","4.95119503390676","0.467279536060833","34.0034019494453","2.57009780285906","2.10825460297721","0.0208930691395534"
"162","PERF1","1211.93810248594","0.617642941931298","26.406741804056","3.0094782375191","36.5501261005993","1.69153035745265","39.5782289320316","1.38239384232238","2.25339202369962","0.0212912355851125"
"162","PERF2","1211.93810248594","0.617642941931298","3.01738722541292","0.502628850634456","4.23222186797156","0.283474426051694","37.8778970177771","3.64679479463976","2.23859385933195","0.0362292627158686"
"PERF1","","","","","","","","","","",""
"","Distance with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.953864534040879","","","","","","","",""
"","","SpearMan's correlation","1","","","","","","","",""
"","Validation with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","-0.400181656248665","","","","","","","",""
"","","SpearMan's correlation","0.25","","","","","","","",""
"PERF2","","","","","","","","","","",""
"","Distance with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.792224793529804","","","","","","","",""
"","","SpearMan's correlation","1","","","","","","","",""
"","Validation with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.923947314118033","","","","","","","",""
"","","SpearMan's correlation","1","","","","","","","",""
