"SamplingSize","Metrics","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"11","PERF1","509.645","0.471918054884868","16.9908106672421","7.13257231440852","31.8409464452688","2.91507639952514","26.5079714680065","2.5869743230122","0.276579345975603","0.0016487167941159"
"11","PERF2","509.645","0.471918054884868","16.6621157634446","10.0386954035883","47.7535358935924","3.37046483121096","43.3929330371114","2.99890863717935","0.277049647437202","0.00125040715678741"
"22","PERF1","504.854761904762","0.447455224327281","8.19194483500562","2.95875920675931","21.6320909660167","2.57012356531955","18.7180586025203","1.43587460258229","0.574806413650513","0.00744694005366743"
"22","PERF2","504.854761904762","0.447455224327281","13.2290049175098","3.50580770262852","36.2141803029409","2.88708360063383","32.9889251667495","2.22964667758713","0.583699056080409","0.0154564555387909"
"33","PERF1","499.117948717949","0.312996987632345","9.25250212849679","1.54292902620057","19.7210284379739","1.45854276162826","16.914888915239","0.892810364247703","0.864060446068093","0.0113836924215567"
"33","PERF2","499.117948717949","0.312996987632345","12.7007268402187","2.79032683451436","32.3859575308039","3.02367565722227","29.8985611255418","1.73836077236027","0.858037556920733","0.00266366379453815"
"44","PERF1","494.308695652174","0.306479167564826","11.7368768958078","2.213514783823","17.9581132514083","1.86248327737508","15.9454731469462","0.531491319762577","1.17941048315593","0.0154953020164943"
"44","PERF2","494.308695652174","0.306479167564826","11.5917973979163","2.34101477576405","20.7991807875619","1.6152383936715","26.6465058367809","1.39658733259579","1.18202280115198","0.018856743903723"
"55","PERF1","489.162307692308","0.342851882812286","9.46216432765723","0.942124763034579","14.7872486353654","0.5129318142394","16.309037581649","0.586690931075401","1.47452844513787","0.0147685808271273"
"55","PERF2","489.162307692308","0.342851882812286","12.2006111222103","2.70117274315446","20.3383617015063","2.28340268868991","26.9371949903763","0.830230773614291","1.49853388752256","0.0259621798213933"
"66","PERF1","484.43717948718","0.326431923546174","11.4928150725087","1.41796108640935","13.9776382992602","0.47612188063044","15.3372794481715","0.570385829904823","1.61983215808868","0.0329312200658556"
"66","PERF2","484.43717948718","0.326431923546174","11.1096767264825","2.48568814422585","14.6426888639566","1.26848934742934","26.2234375535594","0.957349417271935","1.60753373588834","0.022262954935139"
"77","PERF1","479.050510204081","0.309804418589842","8.92371766432573","0.985812450756602","13.4452047586102","0.494410066613629","14.9254752763149","0.363150174828016","1.64248894793647","0.0192503828144808"
"77","PERF2","479.050510204081","0.309804418589842","7.75257305122741","1.24347081759648","12.0116366597759","1.25731380428537","26.0923826639547","1.1419488480545","1.63895286832537","0.0219587847858529"
"88","PERF1","473.949519230768","0.383701073881261","10.0213784569312","1.36428420492821","13.6450454292485","0.752634903510804","14.3222379140274","0.469288545251339","1.65006922824042","0.0169921674471238"
"88","PERF2","473.949519230768","0.383701073881261","9.82123965436593","2.29987067338278","11.7399824737072","0.9735795927816","25.0364220198772","0.823617344866481","1.63823342323303","0.0184185990941938"
"99","PERF1","469.276543209876","0.327986248261551","9.57388428278355","1.20069411293356","12.7307848919106","0.601067688916916","13.5738991315069","0.232641256176383","1.70836223023278","0.028799133219605"
"99","PERF2","469.276543209876","0.327986248261551","7.54375988626","0.987437347396972","10.2278849071849","0.346616494349139","24.0217615207914","0.735041437484813","1.71135482617787","0.0268503883263676"
"PERF1","","","","","","","","","","",""
"","Distance with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.87128719114911","","","","","","","",""
"","","SpearMan's correlation","0.983333333333333","","","","","","","",""
"","Validation with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.716180060775173","","","","","","","",""
"","","SpearMan's correlation","0.133333333333333","","","","","","","",""
"PERF2","","","","","","","","","","",""
"","Distance with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.944873189259701","","","","","","","",""
"","","SpearMan's correlation","1","","","","","","","",""
"","Validation with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.923663088587736","","","","","","","",""
"","","SpearMan's correlation","0.966666666666667","","","","","","","",""
