"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","Metrics","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
"19","1","2","1","30","0.001","PERF1","344.809589947071","0.455840142706279","19.9231939342758","18.1195359642466","0.65746808052063"
"19","1","5","2","30","0.01","PERF2","344.809589947071","1.89310456253685","32.5793451325724","33.4514841171051","0.676481008529663"
"19","2","11","4","30","0.01","PERF1","347.747089947071","0.988839135661374","16.339070177239","17.3078406348397","0.669492959976196"
"19","2","6","2","30","0.01","PERF2","347.747089947071","99.2034038813838","33.4316695176557","27.0376291019435","0.654467105865479"
"19","3","2","1","30","0.01","PERF1","346.642923280404","1.91660433612198","20.3207690937426","19.3655722674966","0.690474987030029"
"19","3","12","4","30","0.01","PERF2","346.642923280404","5.34007645904201","40.0838595778068","41.9584249165876","0.691490173339844"
"19","4","9","3","30","0.01","PERF1","345.804960317441","4.4203754482093","19.9975428440784","19.2880910334643","0.722531080245972"
"19","4","5","2","30","0.01","PERF2","345.804960317441","19.6719557556519","38.738858957795","37.1671363987974","0.8506019115448"
"19","5","7","2","30","0.01","PERF1","347.379034391515","1.58642650163019","16.326199612043","17.1441022506646","0.863631010055542"
"19","5","8","3","30","0.01","PERF2","347.379034391515","4.16125831356211","48.2703618615386","50.1941903173144","0.752535104751587"
"19","6","2","1","30","0.001","PERF1","345.420701058182","0.082270465440887","21.9447220284516","16.3704454560644","0.887614011764526"
"19","6","7","2","30","0.01","PERF2","345.420701058182","4.61374901253435","39.2165515358011","41.8925770166955","0.891650915145874"
"19","7","7","2","30","0.01","PERF1","351.865145502626","4.5842392917667","16.9801931692105","16.2372267294615","0.790563106536865"
"19","7","17","6","30","0.01","PERF2","351.865145502626","2.14278293691525","58.8562019079459","35.5842153631043","1.18784403800964"
"19","8","6","2","30","0.01","PERF1","348.726256613737","2.01992883206401","17.2627780017719","17.1853158328693","1.07376384735107"
"19","8","10","3","30","0.01","PERF2","348.726256613737","3.31632546397043","33.5928314650705","22.9977315974153","1.00871801376343"
"19","9","10","3","30","0.01","PERF1","348.353571428552","18.2876336533691","16.7842505802966","18.0770126982565","0.896654844284058"
"19","9","8","3","30","0.01","PERF2","348.353571428552","5.60533108975083","43.1178301769108","34.3921988472888","0.756534099578857"
"19","10","9","3","30","0.01","PERF1","347.117460317441","8.75030734257345","16.3511386047517","17.2958811229225","0.758539915084839"
