"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","Metrics","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
"19","1","1","0","30","0.01","PERF1","210.644444444448","10.9253562401045","37.6614555103632","22.3114179211208","0.636451959609985"
"19","1","7","2","30","0.01","PERF2","210.644444444448","92.900864745905","54.2656783798747","44.5762885719173","0.656466960906982"
"19","2","8","3","30","0.01","PERF1","214.911111111115","3.11145238302638","24.7229745330786","22.1692688144184","0.674497127532959"
"19","2","1","0","30","0.01","PERF2","214.911111111115","1.17485751971247","136.432387245072","20.6436526114092","0.70151686668396"
"19","3","2","1","30","0.01","PERF1","211.277777777782","0.267600744403961","24.5103793533712","21.4129256571837","0.641441106796265"
"19","3","1","0","30","0.01","PERF2","211.277777777782","36.8622493324923","155.678312840034","24.1245340429694","0.615454912185669"
"19","4","1","0","30","0.01","PERF1","213.200000000004","0.254943996039974","35.0280457216707","21.1348032105554","0.701498985290527"
"19","4","2","1","30","0.01","PERF2","213.200000000004","6.3729242842964","45.4284464822914","39.731923898715","0.773555994033813"
"19","5","2","1","30","0.001","PERF1","214.144444444448","1.26245108731175","27.9555861029316","22.7172558738245","0.680485010147095"
"19","5","2","1","30","1e-05","PERF2","214.144444444448","5.25314618153348","25.6054214583296","43.1690867785261","0.765545129776001"
"19","6","2","1","30","0.01","PERF1","213.866666666671","33.3681503266509","32.1497130778345","24.4496299591831","0.602427959442139"
"19","6","5","2","30","1e-04","PERF2","213.866666666671","2.66654320543558","36.0439825274688","37.3865484185724","0.600410938262939"
"19","7","2","1","30","0.001","PERF1","218.777777777782","48.1184958774979","29.0281665255146","42.6913155328492","0.602427959442139"
"19","7","1","0","30","0.01","PERF2","218.777777777782","27.80761737887","109.040971528203","64.7532426390748","0.601426124572754"
"19","8","5","2","30","0.01","PERF1","214.166666666671","24.0296811341769","18.6912307625377","19.5195510712374","0.601428031921387"
"19","8","1","0","30","0.01","PERF2","214.166666666671","21.2536421444626","144.763687378504","29.7707891303208","0.612436056137085"
"19","9","14","5","30","0.01","PERF1","214.05555555556","3.37006004220902","37.49336748405","21.7309122094772","0.644474029541016"
"19","9","7","2","30","0.01","PERF2","214.05555555556","88.2263761947304","78.5878953961178","36.0002702998233","0.610435009002686"
"19","10","8","3","30","0.01","PERF1","214.022222222226","0.0737018333494139","31.1769000102353","29.853288861501","0.609431982040405"
"19","10","2","1","30","1e-04","PERF2","214.022222222226","28.6269374524637","18.5915754289869","59.8439793567742","0.619423866271973"
"19","11","14","5","30","0.01","PERF1","211.144444444448","15.7564820156673","39.9874399746384","29.5590375956947","0.612452030181885"
"19","11","2","1","30","0.01","PERF2","211.144444444448","10.3725754828496","29.7115603671005","57.0961330199137","0.610434055328369"
"19","12","2","1","30","0.01","PERF1","212.477777777782","5.87016827159745","26.1882169946254","21.8928339386992","0.626463174819946"
"19","12","9","3","30","0.01","PERF2","212.477777777782","30.5110019006402","38.6314407561283","39.399610648858","0.626446008682251"
"19","13","2","1","30","0.01","PERF1","213.188888888893","23.8645753866209","39.14371024021","24.708345366724","0.633430957794189"
"19","13","5","2","30","0.001","PERF2","213.188888888893","2.41749442233201","26.4961220141281","25.4449013910901","0.636452913284302"
"19","14","4","1","30","0.01","PERF1","211.111111111115","0.0402624477355253","29.9527587104786","20.0537096177319","0.624445199966431"
"19","14","2","1","30","0.01","PERF2","211.111111111115","23.9304723307519","34.4699197425522","32.4053757387159","0.604429006576538"
"19","15","2","1","30","0.001","PERF1","212.888888888893","0.737949588743518","23.2250008374587","24.9815997042002","0.637453079223633"
"19","15","2","1","30","0.01","PERF2","212.888888888893","1.39614566930195","33.6048907290201","49.7016619347356","0.635433912277222"
"19","16","2","1","30","0.01","PERF1","212.244444444448","5.74928207603156","21.169364072374","21.5015270665329","0.613437175750732"
"19","16","1","0","30","0.01","PERF2","212.244444444448","17.6811421296157","114.472063129829","36.1313753126833","0.624460935592651"
"19","17","6","2","30","0.01","PERF1","210.466666666671","14.7031359275523","30.1418589345333","30.9281132803221","0.61742115020752"
"19","17","2","1","30","1e-04","PERF2","210.466666666671","2.97118252338554","20.4605033276019","32.3538299379918","0.641440153121948"
"19","18","8","3","30","0.001","PERF1","213.588888888893","42.4764807987213","24.6357246590581","28.0012632064707","0.634466886520386"
"19","18","7","2","30","0.01","PERF2","213.588888888893","2.37188725627902","37.2602147445202","43.31106846633","0.710488080978394"
"19","19","7","2","30","0.01","PERF1","215.811111111115","0.748640907044693","31.0106172126493","30.4844946430215","0.634468078613281"
"19","19","7","2","30","0.01","PERF2","215.811111111115","1.48711063706162","23.8149373136601","25.4513595251392","0.677464008331299"
"19","20","5","2","30","0.001","PERF1","211.477777777782","48.3218750045808","21.2303883987388","21.4717501276178","0.657450199127197"
"19","20","2","1","30","1e-04","PERF2","211.477777777782","0.357934722397292","30.7750070263962","32.0584057799684","0.639437913894653"
"19","21","2","1","30","0.001","PERF1","213.244444444448","1.22374506679545","25.5360594702352","26.5882976747966","0.75954008102417"
"19","21","2","1","30","1e-04","PERF2","213.244444444448","0.114426876780911","67.8190238829493","64.0999475805707","0.705488920211792"
"19","22","14","5","30","0.01","PERF1","211.244444444448","10.2665177553296","28.5913140768314","25.0167848937323","0.690490961074829"
"19","22","7","2","30","0.01","PERF2","211.244444444448","3.21413938758937","37.0546616805242","40.0653516262305","0.62844705581665"
"19","23","5","2","30","0.01","PERF1","214.477777777782","0.846142011591033","25.1847753443335","25.1006406916948","0.646440982818604"
"19","23","2","1","30","0.01","PERF2","214.477777777782","7.43777942604742","24.5549379038255","30.1912088427156","0.647464036941528"
"19","24","2","1","30","0.001","PERF1","213.977777777782","5.89041784313389","20.6516272103724","24.6977332954086","0.647461175918579"
"19","24","2","1","30","0.001","PERF2","213.977777777782","16.4882497596435","23.5425215778153","27.0161021660023","0.626445055007935"
"19","25","2","1","30","0.001","PERF1","211.311111111115","2.12287064790186","24.6144600792442","22.8241706725953","0.825571060180664"
"19","25","1","0","30","0.01","PERF2","211.311111111115","20.4038334745198","157.40843465587","78.0349859570873","0.773546934127808"
"19","26","11","4","30","0.01","PERF1","215.200000000004","6.31428895706131","35.7350252246621","22.1589542072767","0.814582109451294"
"19","26","2","1","30","0.001","PERF2","215.200000000004","2.34251448079504","18.8017547360637","30.7170218769185","0.822584867477417"
"19","27","2","1","30","0.001","PERF1","213.333333333337","0.337749190574723","33.5842680999125","32.892162815388","0.72551703453064"
"19","27","14","5","30","0.01","PERF2","213.333333333337","0.0163972526417481","44.7430915799592","45.3002564811758","0.812579870223999"
"19","28","4","1","30","0.01","PERF1","213.244444444448","1.806392800168","42.4415428656839","42.1181746963147","0.775548934936523"
"19","28","2","1","30","0.01","PERF2","213.244444444448","30.8159349516862","21.9446478109699","20.6954087508761","0.716509103775024"
"19","29","7","2","30","0.01","PERF1","211.577777777782","0.876130837824742","23.3828834859859","23.3509468083131","0.755536079406738"
"19","29","2","1","30","1e-06","PERF2","211.577777777782","0.556119031121391","60.3968862938872","91.5197022357971","0.685504913330078"
"19","30","5","2","30","0.01","PERF1","211.277777777782","3.35409363800364","20.5174462170884","24.1513357105835","0.719512224197388"
"19","30","2","1","30","0.01","PERF2","211.277777777782","3.91172242922702","21.792482278999","33.7743855904652","0.647475957870483"
"38","1","13","4","30","0.01","PERF1","201.790952380955","18.7750451421086","20.2952223420544","19.4489749200801","1.46402502059937"
"38","1","2","1","30","0.01","PERF2","201.790952380955","3.9379074681397","19.7046804637863","43.1360817078457","1.39098787307739"
"38","2","17","6","30","0.01","PERF1","203.505238095241","9.71355876473588","34.0170716643712","21.6787964203528","1.2769079208374"
"38","2","2","1","30","1e-04","PERF2","203.505238095241","9.29543486357085","21.9169784836304","68.4679299539502","1.29994201660156"
"38","3","4","1","30","0.001","PERF1","209.048095238098","17.4083658537574","21.7012823203904","25.6568785496135","1.35394597053528"
"38","3","2","1","30","0.01","PERF2","209.048095238098","39.9600429571027","28.8221469508625","70.5381481014257","1.35498213768005"
"38","4","2","1","30","1e-04","PERF1","201.648095238098","10.9948855277396","22.0518372700093","22.8121505014734","1.3139169216156"
"38","4","2","1","30","0.01","PERF2","201.648095238098","13.5530914790385","17.4335826967471","57.7603383238907","1.35294198989868"
"38","5","5","2","30","0.01","PERF1","201.928095238098","4.73450671123964","21.8980562436992","21.4937104391412","1.35398387908936"
"38","5","3","1","30","1e-05","PERF2","201.928095238098","10.2828421713936","17.1266560907776","64.1280444128322","1.34397411346436"
"38","6","2","1","30","0.01","PERF1","203.848095238098","12.8749079730007","21.934894855747","19.1105131013555","1.34293699264526"
"38","6","5","2","30","0.01","PERF2","203.848095238098","3.12254122591253","25.3328353559552","55.7208700359995","1.27590394020081"
"38","7","6","2","30","0.01","PERF1","209.128095238098","30.4331152795311","23.0347514197237","34.9109988626743","1.2678849697113"
"38","7","1","0","30","1e-05","PERF2","209.128095238098","11.7832932735118","32.6949754505418","34.1497145168019","1.42099189758301"
"38","8","3","1","30","1e-04","PERF1","205.985238095241","10.6382534563715","21.1368155312344","25.7899454530289","1.27291893959045"
"38","8","2","1","30","1e-05","PERF2","205.985238095241","11.6025098804789","21.9599449924467","52.4997323326907","1.30993103981018"
"38","9","5","2","30","0.01","PERF1","207.545238095241","9.65048868946594","24.5820051262235","24.7032171431084","1.28689694404602"
"38","9","3","1","30","1e-04","PERF2","207.545238095241","1.37049457262844","18.6312330890567","59.7414606463744","1.37998795509338"
"38","10","4","1","30","1e-04","PERF1","204.099523809527","19.6334053649575","19.7156991296933","21.8943140105792","1.38900518417358"
"38","10","2","1","30","0.01","PERF2","204.099523809527","19.5478360988204","19.5974666829928","59.8946083478255","1.32492685317993"
"38","11","7","2","30","0.001","PERF1","201.162380952384","15.150203607885","23.1005862169017","22.6932040922141","1.29692316055298"
"38","11","2","1","30","1e-06","PERF2","201.162380952384","92.7400751726032","14.987637039226","21.9580919399184","1.25391006469727"
"38","12","2","1","30","1e-04","PERF1","202.933809523812","9.88194653841816","20.1232808083766","22.2585265685398","1.29794096946716"
"38","12","5","2","30","0.01","PERF2","202.933809523812","3.30635694925887","29.9565505448811","28.4108811016391","1.30492901802063"
"38","13","7","2","30","0.01","PERF1","203.156666666669","2.85253460757691","19.2441932018217","20.9779078092122","1.37998199462891"
"38","13","3","1","30","1e-05","PERF2","203.156666666669","5.86274353012742","14.4847164973467","42.2118548210228","1.34394788742065"
"38","14","2","1","30","1e-05","PERF1","203.333809523812","13.1155202591418","19.0314835596234","19.2905319526486","1.35996699333191"
"38","14","2","1","30","0.001","PERF2","203.333809523812","16.2961004859022","20.7961673067797","59.9758878621444","1.47404813766479"
"38","15","3","1","30","0.001","PERF1","204.042380952384","6.80792835105829","23.6012377623086","39.4269229125557","1.29290294647217"
"38","15","2","1","30","0.01","PERF2","204.042380952384","4.96186968618595","24.0689911116286","44.7741168102235","1.30993485450745"
"38","16","1","0","30","0.01","PERF1","203.819523809527","15.3974324755564","37.0556432724077","19.5923000471528","1.46202397346497"
"38","16","2","1","30","1e-04","PERF2","203.819523809527","6.17394459570797","18.8274920195483","36.7295542477994","1.34695386886597"
"38","17","8","3","30","0.001","PERF1","203.390952380955","4.59649184522132","20.2075349690211","19.8842952103012","1.26890206336975"
"38","17","14","5","30","0.01","PERF2","203.390952380955","8.04717516646463","26.831301922072","26.699615173654","1.52308201789856"
"38","18","3","1","30","0.001","PERF1","204.373809523812","23.7645279024362","21.5588323036063","20.1514765341904","1.26888513565063"
"38","18","2","1","30","1e-05","PERF2","204.373809523812","24.6997960966314","13.1658900034925","40.4742399537343","1.2548930644989"
"38","19","17","6","30","0.01","PERF1","205.459523809527","13.3434357392255","27.8356227393982","23.8299662063596","1.24987292289734"
"38","19","2","1","30","0.01","PERF2","205.459523809527","5.11567458604035","22.9631290874633","38.2547548577859","1.25189089775085"
"38","20","11","4","30","0.01","PERF1","204.716666666669","11.1355917927674","21.7498778631574","20.4098969597374","1.34694290161133"
"38","20","2","1","30","0.01","PERF2","204.716666666669","7.06786512452501","25.2093156302104","42.5998111227064","1.50006818771362"
"38","21","11","4","30","0.01","PERF1","204.670952380955","15.7896751580446","20.8286606312514","22.005765264388","1.67317390441895"
"38","21","2","1","30","0.01","PERF2","204.670952380955","7.45554306969174","24.4213169850787","37.2101497560978","1.80626106262207"
"38","22","2","1","30","0.001","PERF1","204.042380952384","25.1124274969289","18.3455850340579","19.2569249635064","1.91335988044739"
