"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","Metrics","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
"16","1","2","1","30","0.01","PERF1","570.28333333329","16.4814832223398","98.0714080988647","95.3918391164588","0.463327169418335"
"16","1","2","1","30","0.01","PERF2","570.28333333329","1.8344973811592","46.067326321089","39.3695927964546","0.494369029998779"
"16","2","2","1","30","0.001","PERF1","571.016666666624","1.9390637804306","52.9091514352332","58.5971904602171","0.53638219833374"
"16","2","2","1","30","0.01","PERF2","571.016666666624","3.25887807873671","66.0901305055917","64.5130561627136","0.500370025634766"
"16","3","5","2","30","0.01","PERF1","570.749999999957","1.72088730360371","65.8495976655257","65.7779547119656","0.469352960586548"
"16","3","1","0","30","0.01","PERF2","570.749999999957","5.8789186448071","89.8201115712162","77.1685810799245","0.475337982177734"
"16","4","2","1","30","0.01","PERF1","574.08333333329","18.3879642913358","69.1309278682952","75.2473236634063","0.50936222076416"
"16","4","5","2","30","0.01","PERF2","574.08333333329","0.489937292104784","53.9334188865222","43.6900691905212","0.628427982330322"
"16","5","6","2","30","0.01","PERF1","570.416666666624","8.54896148223003","64.827251687816","37.3712473574545","0.468333959579468"
"16","5","2","1","30","0.01","PERF2","570.416666666624","61.9929936786884","73.1719293701248","74.9176658965306","0.565402984619141"
"16","6","1","0","30","0.01","PERF1","574.08333333329","22.8663319948289","158.702329452178","47.5517452479813","0.497354030609131"
"16","6","1","0","30","0.01","PERF2","574.08333333329","2.07717695914277","81.374519990766","65.8815959990899","0.538367033004761"
"16","7","2","1","30","0.01","PERF1","570.749999999957","91.0582754136032","71.9750612185066","60.1369687408923","0.547370910644531"
"16","7","11","4","30","0.01","PERF2","570.749999999957","1.91238091292326","64.9222553267446","57.0926055268909","0.558398962020874"
"16","8","1","0","30","0.01","PERF1","573.549999999957","4.92954353477515","154.555059033751","99.0683797122528","0.480342149734497"
"16","8","2","1","30","0.001","PERF2","573.549999999957","14.1466080043875","76.7833597094183","83.8002525829188","0.50437593460083"
"16","9","2","1","30","0.01","PERF1","578.549999999957","0.949925139097415","56.6305284638272","58.3907001257721","0.546372175216675"
"16","9","5","2","30","0.01","PERF2","578.549999999957","8.895746754844","44.9691404205088","40.2637035305087","0.528360843658447"
"16","10","1","0","30","0.01","PERF1","570.149999999957","8.57781719860131","126.763714057369","43.619558780561","0.514381885528564"
"16","10","14","5","30","0.01","PERF2","570.149999999957","4.51312530417231","93.2445989842639","57.53958682863","0.542390108108521"
"16","11","5","2","30","0.01","PERF1","573.016666666624","17.5131797905632","39.6830647920469","40.1420788122398","0.524387836456299"
"16","11","3","1","30","0.01","PERF2","573.016666666624","0.815709917746006","57.6305501589729","69.7609075315073","0.456325054168701"
"16","12","1","0","30","0.01","PERF1","572.616666666624","10.4038640783209","120.840234803207","66.4351163730787","0.513363838195801"
"16","12","8","3","30","0.01","PERF2","572.616666666624","129.537876390813","55.2840947821465","56.2200414303605","0.548406839370728"
"16","13","5","2","30","0.01","PERF1","571.749999999957","23.291521668819","41.8018123896678","42.910711599968","0.487363815307617"
"16","13","2","1","30","1e-04","PERF2","571.749999999957","0.367947991030984","37.3594850640553","45.8310490740412","0.559400081634521"
"16","14","9","3","30","0.01","PERF1","569.549999999957","4.09902917725957","73.2422094536258","41.4568935319127","0.52337384223938"
"16","14","2","1","30","0.01","PERF2","569.549999999957","8.10669554084746","40.563095901065","50.0732731237755","0.483361005783081"
"16","15","2","1","30","0.01","PERF1","574.016666666624","16.9683234869687","41.3670425409741","41.6474028676833","0.491346836090088"
"16","15","1","0","30","0.01","PERF2","574.016666666624","307.218780080169","96.6018306474483","43.1034859559839","0.466331005096436"
"16","16","6","2","30","0.01","PERF1","571.416666666624","1.35501851478511","49.9774560445831","37.7463530339428","0.474336862564087"
"16","16","5","2","30","0.01","PERF2","571.416666666624","0.152569517720733","43.7216022434416","44.0603409541584","0.460310935974121"
"16","17","8","3","30","0.01","PERF1","572.216666666624","6.13822140923764","64.1177809685867","61.9357637836777","0.474336862564087"
"16","17","2","1","30","0.001","PERF2","572.216666666624","17.3819204257656","58.127815153826","46.6126582788131","0.601428031921387"
"16","18","7","2","30","0.01","PERF1","570.216666666624","0.045698081298223","47.2064033766959","44.601274486707","0.48734712600708"
"16","18","2","1","30","0.01","PERF2","570.216666666624","29.9999904930375","54.5946838819367","58.292391613439","0.826587915420532"
"16","19","2","1","30","1e-04","PERF1","576.08333333329","0.652529527366167","48.3971070090213","43.9551519475457","0.537365198135376"
"16","19","4","1","30","0.01","PERF2","576.08333333329","11.4117035804278","56.8201813326701","56.6119116054024","0.545387983322144"
"16","20","6","2","30","0.01","PERF1","571.816666666624","10.4359054703301","62.5838215648672","47.8641789188921","0.556397914886475"
"16","20","5","2","30","0.01","PERF2","571.816666666624","17.7118126096443","48.2987724147244","49.6663854090383","0.541388988494873"
"16","21","2","1","30","0.01","PERF1","573.016666666624","17.2671080583794","59.6634456910041","59.379313710075","0.476339817047119"
"16","21","2","1","30","0.01","PERF2","573.016666666624","33.4325734865628","34.3136751853059","34.5622521007614","0.499353885650635"
"16","22","10","3","30","0.01","PERF1","575.216666666624","68.3977412588225","66.3949106773899","36.8063423772176","0.475339889526367"
"16","22","2","1","30","0.001","PERF2","575.216666666624","3.6877561491261","38.9806963971351","41.0758447501051","0.497354030609131"
"16","23","8","3","30","0.01","PERF1","573.016666666624","0.215838137484741","45.9906751044201","53.0872871448071","0.494369983673096"
"16","23","2","1","30","0.01","PERF2","573.016666666624","2.23476484780572","53.3097618479224","59.4833091327737","0.479323148727417"
"16","24","7","2","30","0.01","PERF1","570.416666666624","22.1351046521478","55.7354320561696","23.4193061521254","0.463346004486084"
"16","24","2","1","30","0.01","PERF2","570.416666666624","1.82778042924709","51.3489125746745","51.3916590728558","0.527355909347534"
"16","25","2","1","30","0.01","PERF1","570.216666666624","517.469407823156","54.2968054789918","44.3884682299634","0.476320028305054"
"16","25","14","5","30","0.01","PERF2","570.216666666624","1.71386257286897","60.6509327913904","52.1378557224649","0.473336935043335"
"16","26","9","3","30","0.01","PERF1","570.88333333329","7.54430121836015","72.6617308517285","65.1113310224139","0.463328838348389"
"16","26","10","3","30","0.01","PERF2","570.88333333329","10.9671575795166","62.8677996471812","50.9537731256653","0.500339984893799"
"16","27","2","1","30","0.01","PERF1","570.949999999957","2.82452831052887","47.9208765848196","36.8721023171005","0.468352079391479"
"16","27","1","0","30","0.01","PERF2","570.949999999957","82.7238564841492","71.1175690244202","62.0140645361195","0.46631383895874"
"16","28","7","2","30","0.01","PERF1","573.349999999957","2.2613338140825","64.5657228029565","61.5793751364207","0.521368980407715"
"16","28","9","3","30","0.01","PERF2","573.349999999957","6.31637414721344","80.6717090307816","72.9538440911166","0.504358053207397"
"16","29","8","3","30","0.01","PERF1","574.48333333329","4.87215468011624","79.8761731508641","83.8273745957042","0.497337102890015"
"16","29","1","0","30","0.01","PERF2","574.48333333329","12.5491647726829","93.0432965314881","40.9251950824803","0.487345933914185"
"16","30","5","2","30","0.01","PERF1","571.349999999957","10.3196342146817","55.0186322721424","56.1403076976748","0.473337173461914"
"16","30","5","2","30","0.01","PERF2","571.349999999957","0.506514041222254","44.3357491789593","44.176504905072","0.470318794250488"
"32","1","5","2","30","0.01","PERF1","565.97413793102","13.5093023269025","49.47415281384","46.9558015951104","0.958699941635132"
"32","1","7","2","30","0.01","PERF2","565.97413793102","12.0744430943864","48.6914639690399","44.8679553832686","1.12680101394653"
"32","2","1","0","30","0.01","PERF1","567.594827586193","12.3926652601727","132.208074302762","42.1638724934005","1.02673006057739"
"32","2","2","1","30","0.01","PERF2","567.594827586193","16.9940963356916","56.9709843856398","52.5411293597794","0.96068286895752"
"32","3","1","0","30","0.01","PERF1","563.284482758606","9.45119457061416","131.398420109478","37.5019687998365","0.963686943054199"
"32","3","10","3","30","0.01","PERF2","563.284482758606","9.05536189980925","43.5584350754204","45.0358426230476","0.977711200714111"
"32","4","2","1","30","1e-05","PERF1","564.525862068951","18.5304711984705","33.6407293752232","31.7596315327169","0.990685939788818"
"32","4","2","1","30","1e-04","PERF2","564.525862068951","13.7940055409983","56.5140185150641","55.1084799659073","1.06175518035889"
"32","5","9","3","30","0.01","PERF1","564.181034482744","8.81226940874992","44.9725157194828","26.9912765135343","1.00171518325806"
"32","5","10","3","30","0.01","PERF2","564.181034482744","8.9107381278375","42.7339976149575","41.6245963303896","0.996708869934082"
"32","6","1","0","30","0.01","PERF1","565.560344827572","26.2386018928849","124.93561486141","54.7994004022465","1.02873206138611"
"32","6","17","6","30","0.01","PERF2","565.560344827572","12.5420054305845","57.6019325556716","39.686837953079","0.953661918640137"
"32","7","6","2","30","0.01","PERF1","565.629310344813","12.3259588899887","36.7897168916459","31.6379280964125","1.15683889389038"
"32","7","2","1","30","0.001","PERF2","565.629310344813","16.0255921828345","28.007007310674","40.517575610927","1.02374482154846"
"32","8","7","2","30","0.01","PERF1","565.215517241365","185.492276373732","46.3042875749953","38.5905158022042","1.05476403236389"
"32","8","1","0","30","0.01","PERF2","565.215517241365","16.7067119560321","71.9017440597675","42.4716459453463","1.03375220298767"
"32","9","5","2","30","0.001","PERF1","564.560344827572","8.39754021836829","38.0870933072649","41.795277726544","1.00473093986511"
"32","9","2","1","30","0.001","PERF2","564.560344827572","13.3747085588666","38.6752734061346","43.1625488766459","0.992687940597534"
"32","10","2","1","30","0.001","PERF1","567.112068965503","10.8527742196899","36.6889172878301","29.2440553433096","1.07578301429749"
"32","10","2","1","30","0.001","PERF2","567.112068965503","8.98885943624456","38.7694116746318","43.9682057208204","1.00072813034058"
"32","11","2","1","30","0.001","PERF1","566.801724137917","12.3712981914358","19.1415409701666","49.3102150278469","0.960664987564087"
"32","11","14","5","30","0.01","PERF2","566.801724137917","86.7185611186686","54.3846451199265","42.9348382133895","0.950673818588257"
"32","12","2","1","30","0.001","PERF1","564.732758620675","4.74774569916154","45.4342347246097","52.9053807333197","0.953694105148315"
"32","12","12","4","30","0.01","PERF2","564.732758620675","22.5826785568585","49.227247147105","41.0882827907637","0.907660961151123"
