"SamplingSize","Metrics","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"16","PERF1","572.256060606018","0.7274022881229","14.3626996724679","7.44384318588857","68.2989632982466","9.89739767033178","53.8561198497048","5.48784299533522","0.496947323834455","0.0100591109516508"
"16","PERF2","572.256060606018","0.7274022881229","17.0104901596669","10.7858753244889","60.6822678229656","6.0624592216621","54.1350340145156","4.10479496122492","0.515972009726933","0.015743794549075"
"32","PERF1","565.051379310331","0.472141458746217","20.8735355040643","11.3490315882991","59.6545533067808","11.7343013967174","43.6341043560874","3.75558906215013","1.008149598326","0.0199106981036866"
"32","PERF2","565.051379310331","0.472141458746217","17.5982365271685","6.18494463710374","46.5005458219322","3.51450224386243","41.301798678842","1.81691060899983","1.00585572208677","0.0235649463996189"
"48","PERF1","557.424242424186","0.526693387126029","21.874205787157","11.227933485473","36.5177903715138","4.74397596825545","42.0873118499508","2.67370937820993","1.46732349055154","0.0162605099976785"
"48","PERF2","557.424242424186","0.526693387126029","18.0071187786747","7.09276607273449","39.4427817843466","3.68951490158707","40.2033056463379","2.22654933015613","1.46121948105948","0.0234301977836275"
"64","PERF1","550.749999999973","0.550125441404518","13.1080572351823","3.300725853311","26.7693508506371","3.80340272730592","37.161267085148","2.0444381550591","1.78769796235221","0.0333033116253775"
"64","PERF2","550.749999999973","0.550125441404518","17.749733375521","6.2480405676706","36.5541765380419","2.43413329275536","39.9042556305499","1.37738187258379","1.78476705721446","0.0293859089818497"
"80","PERF1","543.756172839506","0.615950293393376","10.6226757281273","2.59682459040511","21.3320606598491","2.94650244333613","36.9666485713774","1.99552988972299","1.84820097464102","0.0382595989379123"
"80","PERF2","543.756172839506","0.615950293393376","14.3113054735815","2.21511900765462","30.327859392679","2.9022372473437","39.6913385531802","1.5841393638355","1.86035744632993","0.035315599848021"
"96","PERF1","535.814282673467","0.477908557168275","10.9087801558545","3.70551784635796","20.7127869353966","3.59009049475308","38.7746783154157","2.71066849875246","1.85528656414577","0.0531354508073895"
"96","PERF2","535.814282673467","0.477908557168275","14.931367301266","2.37117403504067","24.0796685438859","2.78587926126892","40.5744695943195","1.14864509677878","1.86550357512065","0.0430975651954648"
"112","PERF1","529.032911624482","0.493960852754045","10.3241450948435","2.75919576822368","19.3949069568926","3.51250724190702","31.9160163381047","1.48566859451095","1.93980765342712","0.0423247982634436"
"112","PERF2","529.032911624482","0.493960852754045","10.8127552243129","2.00038617854217","21.4272607130706","2.7014665736125","30.9581984559171","2.24391358881814","1.92493711199079","0.0314383786027662"
"128","PERF1","521.491060025542","0.612815005230858","9.182786054291","2.42278814900454","15.4880365695383","2.15467793224657","32.5560649875913","1.97930725036544","2.08326478515352","0.0530321596669337"
"128","PERF2","521.491060025542","0.612815005230858","17.5014572222641","8.036688139876","18.0228686511672","1.84254710096222","33.0649170234553","1.33712476606583","2.04573954854693","0.0365688170831068"
"144","PERF1","514.65961538459","0.55690406127521","7.49637602308116","1.29814868057449","12.8314352986241","1.38488793794348","31.511661942027","2.36446367882749","1.98544561862946","0.0195746923731326"
"144","PERF2","514.65961538459","0.55690406127521","9.39094067483488","1.74615325166163","16.5084966555961","2.94341868156692","30.6214411601053","1.63644423677626","1.99649462529591","0.0275025008538283"
"PERF1","","","","","","","","","","",""
"","Distance with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.905498859113232","","","","","","","",""
"","","SpearMan's correlation","1","","","","","","","",""
"","Validation with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.695544080619723","","","","","","","",""
"","","SpearMan's correlation","0.916666666666667","","","","","","","",""
"PERF2","","","","","","","","","","",""
"","Distance with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.968176648465424","","","","","","","",""
"","","SpearMan's correlation","1","","","","","","","",""
"","Validation with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.602026813632709","","","","","","","",""
"","","SpearMan's correlation","0.616666666666667","","","","","","","",""
